rating,text
positive,"Grant his crew have been amazing. Had a few different repairs done there and very happy. Got a used car that knew needed work. Took it to BMW and they quoted me $2700 for the cooling system. Munich did a full repair on that, plus a valve cover gasket plus fixed another leak and found that my check engine light was bc a bad air/fuel mixture and the total repair was less than one at BMW. Then had my shift mechanism go out after I picked it up from those repairs and was like ""this is weird"". Talked to Grant and he said there wasn't a direct connection to their work as they were in a different part of the car but was willing to fix it at cost using a used part with a warrantee and it runs great. 

Had them do a little more like a battery and stuff and they will defiantly be my shop of choice. Having a German car isn't cheap but finding someone in the battle with you is key!"
positive,Okay guys what the hell... did you open up the transmission and fix it or did you put the timming belt back on like just right? It's seriously never ran this great before it used to not shift gears very well at all now it drives like a dream and all you supposedly fixed was the radiator?  I don't believe it my friend. Will be back for some more of that magic touch!
positive,"Mike and the rest of the guys down at 5 Star Auto Repair are absolute lifesavers! If I could give them more stars, I would! After my check engine light came on in my Lexus IS300, I was praying it was just a bad O2 sensor but quickly learned that the catalytic converter needed to be replaced. After a dealer quote of $4000 (which is more than I paid for the car), I went down to 5 Star Auto to get a quick estimate. 

Not only was I impressed with the price Mike was able to work out for me, I was thrilled to be able to schedule an appointment for the following monday (3 days after I came in...including weekend days). True to his word, Mike had my IS done on time and even went the extra mile to clean my lifetime air filter. The car runs like a dream, and I couldn't be happier! Wish I could keep these guys a secret but that would truly be a disservice to the community. Thanks, again, Mike and the rest of the team at 5 Star Auto! You guys rock!"
positive,"Did a muffler delete here with my GTI. I highly recommend this shop, Russ works pretty hard and knows what he's doing. Extremely reasonable price as well as it's much cheaper than anything else around town. Easy 5 stars"
positive,"I was referred here by another mechanic that did not do transmission work. They where able to replace my clutch in a reasonable amount of time, even though they where extremely busy at the time. The staff and owner is very friendly, open and upfront as far as cost and repair times. 
They worked with me even when we ran into an unexpected issue during the repair. I will use them again for any car repairs that I may have in the future. Please be advised that this is a really busy shop, so call ahead and make an appointment."
positive,"I have a 2013 Ford Fusion and unfortunately my transmission broke down.  Carlos Luna-Aispuro was my Service Advisor and he made a very ugly situation quite bearable and in the end it turned out to be great.  When I purchased my car I bought the extended warranty and as Carlos assured me it was the ""Mercedes"" of warranties. When my car broke down I was leaving for our summer trip to Boston and of course I was panicked about what this might cost me.  Carlos assured me that everything will work out and I should just go and enjoy my vacation.  I did and upon my return my car was still waiting to be approved for the warranty and Carlos gave me a free loaner which was a 2017 Ford Explorer.  When my car work was completed I ended up with a new transmission and an additional 12 months or 12,000 mile warranty on all my parts.  To be honest when I first turned in my car I thought to myself ""this car is a lemon and I am going to get rid of this and go across the street and trade it in.""  However, my whole attitude changed when I realized how Ford stood by their cars and I walked out of the dealership with my car and a new transmission AND zero money out of pocket.  I will be keeping my car thanks to the AWESOME customer service from Carlos and staying with Ford because they stand behind their automobiles."
positive,"If anyone had told me that I could find an auto repair shop in Las Vegas that would fix my out-of-town vehicle quickly and fairly, I would have laughed.  After having my car repaired at Tony's, I can say I have found an honest, efficient, and reasonable-priced car repair facility in Las Vegas (Sorry Charlie, previous reviewer,  but I can't believe you went to the same facility as me)  After having Dennis at A-1 tow my car to Tony's (Dennis and his new hire were very nice), Tony called to say that he would check everything out and get back with me.  About 3 hours later, Tony said that the car was almost finished and that all the pumps were in good condition, and only the belts and pulley needed to be replaced.  He took the car for an extended drive to check everything out before I tried to make it back home to SoCal.   I am very impressed with the quality of service at Tony's, the reasonable charge for the prompt repair, and have already told all of my friends in Vegas.   Thanks again Tony!!"
positive,"My check engine light was on, so I called and then stopped by. Bobby diagnosed the problem in a couple minutes, told me what parts I needed, and installed them for free when I went back. What amazing service!

Since my car has over 130k miles, a few things have been going wrong lately. Next time I have an issue, I will take my car back to 5 Star Auto Repair -- the name is fitting!"
positive,"You'll likely be dealing with Dale who will be a refreshing change from most shops. He does amazing work and will not charge you a dime more than required to fix your vehicle and keep his shop open. I was quoted over $300 for a thermostat replacement at Ted Weins took it to specialized auto care and Dale did it for $120.50. Since the part was actually 120 on rock auto I can only come to the conclusion he charged me 50 cents in labor.... Maybe he had an extra or got a deal on them in bulk but either way I couldn't even have done it myself for cheaper considering shipping costs! I can honestly say I have no need to shop around anymore this is my mechanic. Also if he can't do it he will refer you to another trustworthy place that can, in my case it was advanced mufflers right up the street which also received a 5 star review from me. Last thing, never go to a Ted Wiens/Firestone."
positive,I was in a jam and on panic mode after my Expedition failed a smog test due to check engine light being on. I went to 3 mechanic shops and didn't feel like I could trust the prices they were throwing out to me. I called Purrfect Auto Repair and spoke with Mike. He said bring the vehicle to him and they will try and squeeze me in to their busy schedule. The diagnostic was fairly cheap compared to other quotes I got prior to them and the diagnostic fee goes towards the repairs if you accept the work to be done. They managed to fix the issues and let me pick up my vehicle at the end of the day! I'm very satisfied with the service I received! Thank you to all of you at Purrfect Auto Repair! Good looking out Mike!
