rating,text
negative,"Tried to have my car repaired.  Even made an appointment.  I was told that all my appointment was for is to meet the service advisor, not get any work completed on my car.  Such a waste of time.  Even talked to the Service Manager, he didn't care.  Since that was the attitude of the service department, I can only expect that from the mechanics that would have worked on my car.  Went to another dealership, made an appointment and my car went in to be repaired.  Not told to come back later and they might get to my car. Very poor service."
negative,"I can't tell you how angry I am right now.  I went to Huntersville Ford yesterday to get an oil change on my commuter car.  Paid my $41.00 and was given back my car just over an hour later.
Today I had to go to work (40 mile round trip commute).  As I was getting off of I-85, I noticed the smell of burning oil.  I thought maybe the tech just spilled a little on the exhaust manifold since it's right there, and maybe it's burning off.  I didn't hit a stop light until I was almost at my office.  When I stopped and was waiting for the light, my cabin started to fill with smoke, and I had smoke pouring out from under the hood and the wheel wells as well.
I pulled over into the parking area of a gas station (because they have accessible fire extinguishers) and parked.  I popped the hood only to find THE TECHNICIAN DID NOT PUT THE OIL FILLER CAP BACK ON!!!  Now my engine is covered in potentially flammable oil, and of course Huntersville Ford is closed today!!!!
I have my car sitting outside in the parking lot with the hood open, just in case it decides to ignite, because my engine is pretty hot after a 20 mile drive.
I called and left a voicemail, and now I have to find a way to degrease my engine at work, just so I can drive it home in a less-flammable state.  I WILL HOLD HUNTERSVILLE FORD RESPONSIBLE FOR ANY COMPONENTS THAT FAIL AS OF A RESULT OF THIS.  Most electronics don't like being slathered in motor oil.  In fact, I'm pretty sure they aren't designed for that.

And NO, I did not have other work done... Just the oil change.  You had 1 job.... oil change.  No transmission service, no brake service, no rotation, no cooling flush... just an oil change.  I hope he remembered to tighten the filter, but I am skeptical at this point.

I can assure you, I will NOT be taking my car back to that dealership, even though it is right around the corner from my house.  MAKE IT RIGHT, HUNTERSVILLE FORD."
negative,"They're working on fixing the problem of the check engine light on the car, hopefully it will get figured.out soon and the issue will be resolved and the check engine light will stay off and the car will run good

Fly by night mobile mechanic didn't show when he said he would. Several messages left at the car company with no return call as well as a text to an employee with no response. This place sucks and couldn't careless about customers"
negative,"My girlfriend just got an oil change done here, she asked that they check the car over because we are going out of town. It is roughly a 100 miles later, 12:21pm, and we stopped for gas. The transmission fluid(measured hot and with the engine running) is not even showing on the dip stick, the belt cracked pretty bad, all the fluids are low there isn't a drop of washer fluid and who knows what else they didn't bother to check."
negative,"I bought a audi 4 and it was the worst car I ever bought...check engine light consistently keeps back on, the owner  Jacob ""tried "" fixing but couldn't,so I end up fixing it myself with a little research. The car came with a spare tire that was flat,less then a year the rear back window went out,glove compartment hinges broke,fuel gas leak and til now check light still lighting up . Before you buy any car,trucks or SUV make sure you check every single details on the vehicles and ask for carfax or call your car insurance for a carfax. The audi a4 I bought is a lemon car."
negative,"Took my transfer case here after talking to Jeff over the phone.  Seems like a legit place but the work done was half assed.

I brought it in because of a squeaking noise and a rattling sound.  I rebuilt it prior and thought it would be good for a professional to take a look at it.  They couldn't find the problem but told me the best they could do was a bearing kit for $550.  It would take a knowledgable person no more than two to three hours for the job and the kit is about $90 on ebay.  That's a lot of money for labor and they did a sloppy job.

First of all I had to take it back because they spray painted the front of the case where the transmission fluid from the transmission will come into contact.  I had to argue with Jeff that I didn't want paint there.  He finally said to take it back and he'll remove it.  Also a half assed job because there was still paint that I had to remove myself.  Sorry I don't want cheap spray paint dissolved in my transmission.  Not to mention the case was brand new and they did not have to paint it.  They also did a poor job spray painting it as they didn't use any masking.(see pictures)  The spray paint is also flaking off.

Now I'm about to put the case back in my truck and I check to see if they put the magnet back.  They did not.  Now I have to take it back apart and put one back in myself.  More work for me when I paid a professional to take care of it.  Also they put too much RTV around the case which the manual says not to do because it could clog up the screen to the oil pump and burn out the bearings.

Very poor and unprofessional job by a place that call them self ""Pro.""  Skip this place and find some one who cares about their work.



*Talked to Jeff over the phone.  Initially, on our very first coversation, he seemed very knowledgable about transfercases.  It become apparent after each conversation his knowledge is very limited.

I told him about the problem and he didn't offer a refund not even an apology, just tried to argue and justify himself.   I hope you think twice before taking your car here.  Places like this also give a bad name to good mechanics."
negative,"TERRIBLE they took advantage of my elderly  mom. They did not even address what she went in for. However, she left after paying $800.00 and her check engine light is still on, so no emissions test for her today Their explanation  "" we only do one thing at a time"" what a sorry states of affairs."
negative,"This is an update to a previous review. We took our car to another shop to make sure we were not out of line in our suspicions of this location. They were skeptical of what we said. In particular, that any shop would return a car to a customer with a NEW check engine light and not tell them about it. However, after they looked at it, they agreed and were appalled at the condition our car was returned to us. Apparently our car was the talk of the shop because all the mechanics could not believe our car was returned to us in such a way. Breather hoses left unattached, the plug in to the car computer pulled out and left dangling, and every single code on our check engine light a result of something they left undone. I've never had a shop tell me to bill another shop for the work they did, but that's exactly what happened here. DO NOT TAKE YOUR CAR HERE. THEY WILL SCREW YOU OVER BIG TIME!!!!-"
negative,"Just had my truck in for service and they made no mention of the inspection results.  Come to find out, the front brakes were down to nothing and should've been replaced at the oil change.  They have been replacing the EGT sensors on my F250 at no charge since buying it new in 2013 because it had a service bulletin on it.  Now, they won't honor the service bulletin and it's my responsibility.  I've only been taking it in every 7-10,000 miles because the check engine light is on, due to their inability to fix the problem on the supplier-side...but it's now my problem.  Also, because of the dealership just slapping new EGT sensors on the vehicle, the DPF system needs replaced.  This vehicle only has 124,000 miles on it.  There's no excuse to have to put $8,000 worth of repairs into it.  Peoria Ford, Ford as a manufacturer, and their service representatives are some of the worst I have seen.  They don't advise on anything.  Just fix the codes, oil changes, or tire rotations, and send the vehicles on their way. No service at all!"
negative,"DO NOT GET YOUR CAR SERVICED HERE. TAKE IT TO ANOTHER CERTIFIED LAND ROVER REPAIR SHOP. I took my car in for it's 90k mile service and inspection on June 6, 2018. They recommended I install a new drive shaft and a couple of small issues, but no other major issues.  I planned on keeping the car for a long time so I did all the work they suggested for a total of $2,742. One week after I had the car serviced the water pump failed and caused the engine to over heat. In other words I had MAJOR ENGINE FAILURE one week after having the car serviced and an additional repair bill of $2.203. It's now June 26th, 2018 and my check engine light is on. I took it to the dealership and they told me I blew a gasket head when the car over heated. I got an estimate from another repair shop for $6,500. My decision now is to have the car repaired or trade it in for it's scrap value. On June 5th, 2018 I had a perfectly fine running car with no issues, but after $5,000 in repairs and service from Land Rover Las Vegas my car is now junk. 

On another note I brought my car in for minor service back in 2016. When the work was complete I went to pick up the car and it was leaking gas under the engine. I'm not talking a few drops of gas, but a full stream of gas was leaking from under the car. It probably leaked about 3-5 gallons in front of the dealership before they could get it to stop. I should have known how crappy their service was then and never used them again."
