,rating,text
60,negative,"i took my 2000 ford e-250 van in last week after i rebuilt the engine and transmission.  this isn't the first rebuild that i have done and it won't be the last, but it will be the last time i give virginia auto another dime!  i replaced just about every sensor and i used brand new parts while performing a complete rebuild.  chuck's speed shop did my block work @ $680.00.  between the engine and transmission, i have over $4,500.00 just in new parts, the labor was from myself...and the van does run.  i'm just not happy with the idle once the engine is at temp.

history: my van fired right up after the rebuild, but it began to run rough after warming up with 50 miles on the new rebuild.  the dash cluster temp gauge wasn't reading the temp, or it was inop., so i figured that the computer was unable to read the temp and make fuel mixture corrections . it turns out that the temp sensor on the cylinder head does this job, but virginia auto never mentioned this fact to me. in a weak effort to find what was wrong with my van, they checked the fuel pressure, which they said dropped off shortly after turning the ignition on.  they recommended changing out the fuel pump, fuel filter and swapping out the temp gauge with ford motor craft parts. i had already changed the fuel filter. i asked how much they would charge to install a new motorcraft fuel pump and they told me $900.00 - $1,000.00!!!  i asked how much the fuel pump would cost and i was told $600.00!!!  wtf?! you can purchase the ford fuel pump for $297.00 from rockauto.com!  i chose the carter for $135.00 and they looked identical during the swap.  i used a new motorcraft temp gauge too.  virginia told me that they have never heard of ""carter"".  i'm not sure how much these guys know about anything.

my major complaint comes from having to argue over how much the diagnostics fee and time should run.  they gave me an attitude when i told them $300 - $500 was too expensive and i'd give them 2 hours, then i wanted a call because i wasn't giving them an open checkbook of mine.  their shop rate is $127.00.  the second service writer chimed in and informed me that they would need to retrace my steps on my rebuild because i might have stuff crossed, missing, or incorrectly routed, which pissed me the f@#$ off!  i kept my cool and i told him that i took pictures, made diagrams, and i purchased the ford repair manuals, which are three thick books!  after just over an hour, i walked over and asked about the progress where i was informed about the fuel pump pressure, which they said they found within the first 20 minutes.  the rest of the time was spent doing god only knows what, but they didn't even come close to helping me fix the poor idle at temp or the rough start and they charged me $289.00 without finding a single issue.  note: they had the van for an entire day, but only worked on it between other jobs - this info came from the manager.  i told them what i didn't change out during the rebuild because there was only a couple parts.  i also wanted the timing checked, but they never wrote that down because they were way too busy pressuring me into giving them an open checkbook!  seriously, does anyone do honest work anymore?!

to: matt a., (business owner)
save your time addressing my review with your wit and sarcasm and spend some time and money teaching your guys some ethics!  i may not know everything, but i have honor and integrity."
61,negative,"i wanted to see if they could do a coolant flush...so i brought the car in and told them what was going on.  the guy made a half-assed remark about my key fob and processed the paperwork.

after 15 mins he comes up to me and says ""we can't work on your car"" because my coolant and transmission fluid were mixing.  this is what i told him when i started giving my information.

i called a tow truck and left promptly.  my issue is, if you can't do the work then say so, or better put...if you don't know how to/don't want to be held liable for any issues that could possibly occur afterwards, then shoot straight instead of giving some bs excuse.  maybe that's a reason why that place always is empty when i drive past.

terrible experience.  don't ever come here"
62,negative,"haven't had my car for a year yet and i have had so many problems. bought the car with the ac/ heat fan needing to be replaced. they knew and told me to make an appointment with their mechanic i did, took my car back to get fixed and the mechanic located on first street didn't even know i was showing up or what i needed then proceeded to tell me he had other cars he needed to work on and didn't know where the part was. now my check engine light is on and tcl light said it was my spark plugs git those fixed and my gaskets are going to need to be replaced. my car is drinking gas like crazy, making a loud put put noise, and idling really high. i have no idea what else will need to be fixed. i definitely got a lemon. i also got extended warranty but of course my car didn't start breaking until the coverage expired!  i am a single mom and depended on them to give me a good car. will not recommend this car company to anyone i know. bad customer service, bad cars."
63,negative,"came in for transmission fluid replacement and they told me i needed to change all my brake pads plus the rotors in the rear needed to be replaced. they quoted me 525 just for the brakes. i went to another repair shop and they said all my rotors were fine and even showed me. i think they were trying to play me cause i'm a girl who knows nothing about cars. thankfully, my dad told me to leave and gave me a normal ballpark on the cost of brakes. ladies, if you go into any auto shop, ask someone who's well versed in car maintenance or take an auto repair course cause these men will play you."
64,negative,"i went here for a diagnosis and was told that i needed a complete engine replacement or rebuild and that i would never be able to get my check engine light off. when i took it into an actual mechanic they fixed my truck and got the engine light off (without rebuilding/ replacing my engine). i also found out i was driving on a broken break line, which meineke didn't tell me about. i went back to meineke to get a refund and was told that since i didn't pay for any parts i wouldn't be able to get my money back even though they didn't actually tell me what was wrong with my truck. i definitely got scammed and would not recommend this business to anyone. not even for an oil check because they obviously don't know what they are doing."
65,negative,"when i came in for an oil change and tire rotation the service representative tried upselling me ""scheduled maintenance"" when my 2014 impala had 31k miles.  after reviewing all of the ""scheduled maintenance"" that was hand written (which should have gave me my first clue that i was being ripped off), i decided that all that i could possibly need from the list was a transmission flush.  the scheduled maintenance cost went from about $500 to $200 which i agreed with at the time.  after getting home i looked at my owners manual and in the service schedule part of my manual i saw that i was not to have my transmission oil changed until it reaches 45k miles.  so i felt a bit swindled into paying for maintenance that was not due for another 14k miles.  so there is a possibility that when i go to henderson chevrolet service department i have to make sure that the technicians are bing honest with me before i purchase anymore ""scheduled maintenance""."
66,negative,"was a satisfied customer for 5 or 6 years, but then came a dramatic change in the fall of 2014. the shield beneath the engine of our lexus came loose. they reattached it. when it came loose again, i had them remove it. in so doing, they failed to secure the shields in the front wheel wells. both came loose and were shredded by the tires. they cut out the shredded parts, leaving two gapping holes.  
     but this is about our camry. on 9/25/14, they replaced both front axles and the valve cover gasket. on 10/31/14, they replaced the oil pan gasket assembly. on 12/29/14, the car was leaking some kind of fluid. i figured i'd better get a second opinion, so took the car to johnston's automotive on 24th street. they put the car up on the rack and couldn't believe the ""shoddy"" work that had been done. the left front axle was spewing transmission fluid, the newly installed oil pan gasket was cracked and the pan itself was dented, but at least it didn't leak. a number of bolts were missing. the valve cover bolts were just sitting in place but not tightened. also missing were the exhaust hanger bracket and cotter pins to the tie rod. 
     i took the car back to discount brakes that day and showed them the ""laundry list"" from johnston's. the manager said they would make it right. a week later, they said the car was ready. i took it back to johnston's for a post-mortem. they showed me that two bracket bolts for the wiring harness were still missing and that nothing had been done to the oil pan gasket. they said putting in a cork gasket is the cheap way and that silicone is the proper way. there was nothing in the way of an explanation, nor an apology for the shoddy work done by discount brakes, leading me to believe that this was not an uncommon occurrence. obviously, i won't be back."
67,negative,"i took my car to chris based on the advice of a friend, who hadn't been to his shop in a few years but had used him previously. the first time, i needed break pads replaced, and that repair went just fine, and under what i'd been quoted by big o tires. then, a year or so later, my check engine light came on and i took my car back to him. the first repair he had the car for nearly two weeks to do two or three days worth of work, and charged me $300 more than what he had quoted on the phone! then, 10 miles after picking it up, the car kicked another check engine light. this time, the repair took a full week and then some, when other shops have said it should have taken two days. he said i needed a part replaced which my new shop has since said was not necessary. but, after having my car nearly a month, it sounds worse than it ever did and can barely accelerate over 40 mph! it's a shame, he's a nice guy, but i don't trust him with my vehicle- or my time and money!- anymore."
68,negative,"how  frustrating  service department! 2016 escalade has bad transmission been in on and out for weeks still not working! run around lots of talk, take it back!"
69,negative,awfully place one of the worst experience i had dealing with a company thats taking my money i. got my car repaired there worst choice work was half done broke and glued it bk allowing me to drive home with a glue soaked key it got stuck in my ignition cost another 200 and then didnt fix the body correct i was unable to open gas tank im on e and no help 20 miles away no compensation no empathy no care never will a wish this money costing rude could less group of folks there so dissatisfied never again
70,negative,"i brought my car here last april to have my muffler replaced.  they had a deal going for oil changes, so i had that done, too.  somewhere along the line, i got upsold for a wheel balance that i probably didn't need, to the tune of $48.  it kind of left a bad taste in my mouth, and i am reminded of it every time i get one of their stupid postcards informing me that my car may be due for brakes, or whatever else they have going at the time.  i have a friend who replaces my brakes for me, and even if i didn't, i sure as heck wouldn't have them done by monroe muffler!"
71,negative,"this review has taken me 2 years to write. i've never had such an awful experience with a car in my life. i am the not so proud owner of a cadillac escalade, platinum edition that was purchased from henderson chevy. first, my husband and i bought the car on a saturday and that next monday we wanted to return it. the engine started making funny noises and we knew there were going to be problems. henderson chevy told me they do not accept returns and we were stuck with the car. a few months later we were having huge technical issues with the car. it would completely restart on its own (while driving it) and the locks would go crazy. i took it in and they couldn't find anything. $100 (to have it looked at) wasted. the problem persisted, i took it in again (another $100) and it was the transmission. they fixed it. not even a week after i got it back it was having issues again. i took it back and it was the battery connection, which is an easy fix for us. luckily their service department isn't as shady as their sales department. so, a year later, we now are faced with the problem of the lifter being broken. i called to see if there was anything they could do for us since i was just over 9k on my warranty and they said no. this car has been nothing but problems for us. we even tried to go back and trade it in but they tried to tell me i would have to pay the upside down on it. which is not going to happen. they need to make this right bc we bought a luxury vehicle that has been crap. they sold us, what i feel is a lemon and won't do anything about it. the biggest kicker is the fact that we bought the car for 42k (final price) but the dealership listed it with the dmv as an 80k vehicle so we are paying double the registration for it. i will never come back here and i tell everyone i can how shady they are."
72,negative,"took my saturn ion to them in july for transmission problems. they had it a month and said it was fixed after spending over 2000.00 on the parts. they then charged me 650.00 for labor. after a week or two the car started acting up so i took it back. they had the car for a week and after i called them numerous times said it was a celluniod that needed replaced. they told me they would call when it was done. they never called i had to call them. they said it was fixed again. so i picked it up. i didn't even get back home when it did it again. i called them and they said to bring it back. they had it a week again and said they would call when they knew what was wrong they never called i called them. they said it was celluloid and they replaced it. i picked up the car and drove it home. not more than a mile from the place it was doing the same thing. i called them while driving home and they said it was fixed that there was nothing wrong with it. they said if it was broken the check engine light would be on. which it wasn't. i took the car home and it completely died on green valley pkwy. i stopped and turned it off. then i started it again and it would go but only a few feet it died in my apt complex's gate way .i pushed it to my parking spot where it sat till it was reposed because i won't pay for a broken car. basically i would not take my car there for all the money in the world. they are untrustworthy, unreliable, and downright shady. do not take your car there."
73,negative,"stay away from this place. i brought my audi a6 there w/ a list of 4 issues i wanted taken care of...long story short...i'm out $600 and none of the 4 issues were fixed.

1st time i drove my car from their shop after being worked on, there was big puddle of oil in my driveway.  i checked oil level, the dipstick was completely dry. car had to be towed back to the shop.

2nd time after they worked on it, i brought home, oil still dripping and they forgot to put the engine cover back on, so back to the shop it had to go.

the 3rd time, and after a week at the shop, the car still drips oil, coolant leaks, clicking sound from turn signal stays on, and the check engine light still on.

i'll admit the people there are polite and seem willing to help, but simply put, the job doesn't get done. save your money."
74,negative,i took my vehicle in to get a check engine light fixed and dropped my vehicle off in the morning. i didn't receive a call all day and had to go in at 5:30 when they closed to see if my vehicle was finished. they ran a very quick diagnostic on my vehicle and then came back in with a 1600 dollar estimate. after i said i would take my vehicle elsewhere the guy working the front desk somehow took 600 dollars off my bill. honest mechanics will start out with the fair price. not try to work you over for more money. after still saying no the person working the front counter had poor customer service and told me i didn't care. to me honesty in a company is very important. which was not the service that i got at fletcher's auto and tire. but i took my truck down to sunburst automotive who gave me an honest price which was half the cost for parts and cheaper labor.
75,negative,"bought a used jeep from them, the salesman was unprofessional. they offered me an insulting interest rate, so found my own.  the salesman harassed me everyday while i getting the loan approved. finally, i had to contact the finance manager to stop the daily phone calls.  

i had to take the car back 4 times because it could not pass e-check.  after the ""fixes"" the check engine light was still on.  i was told that reason the light was still on was not their issue to fix.

i can not suggest anyone purchase a vehicle from this dealership."
76,negative,"i  just had my oil changed @ happy harry's today. the service tech came advised that i should have my transmission fluid changed because it was black and dirty? well i was busy (it's christmas eve) so i declined the service. upon returning home asked my husband if he could check the tyranny fluid as the guy said i should have it flushed, my husband told me he had just had it done 1 month ago when he had the timing belt replaced; so he went out and checked the fluid to be sure and ""it's nice and pink"", not black and dirty! so were they trying to rip me off, or rip and woman off? my husband called and spoke with a manager but it didn't seem as if they cared. not returning to this car wash anymore, and it's right around the corner from my house. to bad happy harry's we have 3 cars washed monthly!  shouldn't cheat people...."
77,negative,"i only use enterprise because of the outstanding staff and cars. this past rental, the staff was outstanding but the car was horrible. rented a toyota camry and it had several issues. front end was out of alignment, car had noticeable damage to it and a transmission that slipped and almost left us stuck in an intersection. the car had over 37,000 miles and for a rental that is a lot...i will still continue using enterprise, they need to step up their game on their rental cars."
78,negative,"absolutely horrible. worst experience i've ever had buying a car! they sell me a 2005 nissan altima. a month after having it, i find out my brakes are metal to metal.  christmas day, my car won't start. find out its my camshaft sensor. replaced that then my o2 sensor. today (6months owning the car) find out my catalitiyc convertor is going out. guess who won't cover it.... i've invested more in this car then i ever have in any car. they're very rude when you call and pretty much say oh well, its your problem. do not buy from here!!!"
