,rating,text
60,positive,"found this shop online searching and saw the great reviews here on yelp. brought in my 2010 f-150 raptor because my flowmasters were too obnoxiously loud at highway speeds, too much cabin drone. they are installing a magnaflow muffler and piping right now. super happy with the service and price. definitely will come back for future work!!"
61,positive,"first, when you walk in, you'll notice the place just looks and feels so much cleaner than most auto-shops. denelle i think is her name works the front desk, she was great, and she guessed my car's issue right just from my sound impersonation, hah! they checked it out while changing my oil, sure enough, same thing my other mechanic said. i had a coupon for a $20 oil change, but that is for regular oil and mine takes synthetic. they double checked that it can't take regular, and again, i know my usual guy uses synthetic as well, but to make it up they gave me the same $10 off the usual synthetic price, $60, which is exactly what i usually pay, so total was $50...and they checked my fluids, check engine light issue, as well as confirming the noise is the power steering pump. but what put it over the top was a mailed thank you note, signed by them. ok, i love my mechanic, but these guys are my new go-to for routine stuff. second opinions, and possibly big jobs if i want to make sure it's done well."
62,positive,"i came here to buy transmission oil and had no clue what i was doing. the sales associate actually checked my transmission level and found out i didn't even need it, and then helped me pick out new windshield wipers. he even offered to put the wipers on since i think he could tell that i was clueless. 

will definitely come back."
63,positive,"i recently had my car repaired at wolbert's.  i had some deep scratches, dents and a major crunch in the front end.  they did a fantastic 'bang up' job, and my car looks brand new!  if i could give them ten stars, i would.  i highly recommend them!!"
64,positive,"took our car into a different shop to get the transmission fluid flushed because they charged a decent price. we go to pick up the car and they tell us we need all new brake pads and two new front rotors. i ask how much and the guy says $650 plus tax. i had to pick my jaw up from the ground. i was recommended to choice auto repair by my dad and am so thankful i was!! kevin was able to get us in first thing the next day. he called and informed us that only the front brake pads needed to be replaced and that he could resurface the front two rotors instead of replacing them. the grand total was $150 plus tax. this shop is awesome, i will never take any of my cars anywhere else. i really do appreciate their honesty and fair prices."
65,positive,"i stopped in to relax a minute, after having my car repaired.  i ordered the carmel macchiato which i thoroughly enjoyed. i really liked the long community table, i met and chatted with some very friendly people from in and out of town.  sure, the parking is cramped and the lot sucks, but i didn't come for that, i came for the coffee  and good service, which was spot on.  thanks starbucks."
66,positive,the best hands down for all your transmission needs! we are repeat customers and will always go here first rather than waist our time anywhere else. super customer service!
67,positive,"hands down the most honest service shop. 

i have a warranty with car max and my transmission has been funky ever since i got the darn car. it's only 3 years old (18 months i've had it) and it's never running correctly. i called carmax and of course they wanted to charge me $200 just to see it and the wait was two weeks to get an appointment. what da heck?! so i asked if i could get a rental til then and they said no, not til they say somethings wrong with it. soooo, let me get this straight.. i'm supposed to drive a car that keeps dying on me while driving with two small kids in 110 degree weather.. wow. 

sorry, getting to the point... 
so the warranty people recommend this place and i call. the gentleman on the phone was completely sweet, understanding and got me in the next day. i left my car there at 8am and when i picked it up he said it is skipping but not enough for the warranty to replace it and for now to be careful.. it may also just be bad gasoline. i knew that they looked at it so i had to pay the $80 inspection fee (as states on my warranty) and he was sweet and told me no they were waiving it since nothing was technically wrong. 

from start to finish i cannot explain how easy, simple, sweet and efficient they were. i will always go to them first with my business."
68,positive,"i was referred to tony's by a napa warranty agent and quickly read their reviews. after feeling comfortable, i called them up and booked an appointment for the next day. upon arriving, i was promptly greeted and made aware upfront that i would have a long wait time based on the repair i needed done. about 45 minutes later, tony informed me that my repair was going to be pricey. instead of him being money hungry, he talked with me and gave me his opinion...the repair would be more expensive than my car was worth and he didn't think it would be worth it. that could've been the end, however, he went the extra mile to escort me to a dealership and put me in trusted hands. thanks to tony i was able to trade in my car and get a 2016 chevy cruze for an amazing price and he even went on a test drive with me to ensure i was satisfied with the purchase. tony is the definition of a stand up guy and deserves everything good that comes his way. i didn't have the pleasure of getting my car repaired by him, but i will refer him to everyone i come across and will return if i ever need anything. he's honest, charismatic, and a great business man!"
69,positive,"there's a reason it helps to get an appointment for service at bell union auto service -- the word is out about how great this place is! 

ken and the staff here are the real deal, honest, friendly,and they know what to do to fix it right. i had some check engine light issues and other warnings for service and it was time for maintenance on my liberty. with 112,000miles, i anticipated the worst but they put everything right and included it all in the usual service rate, a fraction of the cost to visit a dealer. 

what i discovered is that they do only what is necessary -- no inflated charges -- no cashing in at my expense. i've tried the ""jiffy"" coupons and ""gruupy"" deals only to find they are simply looking to up charge for added unneeded services. recently moved to grayhawk and have been looking for an auto service i could really trust. so glad to have found bell union!"
