,rating,text
0,negative,"tried to have my car repaired.  even made an appointment.  i was told that all my appointment was for is to meet the service advisor, not get any work completed on my car.  such a waste of time.  even talked to the service manager, he didn't care.  since that was the attitude of the service department, i can only expect that from the mechanics that would have worked on my car.  went to another dealership, made an appointment and my car went in to be repaired.  not told to come back later and they might get to my car. very poor service."
309,negative,i had a customer bring there vehicle in for a roaring noise which turned out to be an internal issue with the transmission. we decided to give all pro a shot at rebuilding this transmission for my customer. the job took them a week with them telling me that they were waiting for parts to come in. i later found out that jim was lying to me and that whitey screwed something up and had to take it to another transmission shop to fix the problem. my customer brought the vehicle back several times complaining of a rattle noise coming from the engine. turned out that the transmission was so screwed up from all pro transmissions that it was putting a load on the engine causing it to die. after several attempts to get jim at all pro to repair this correctly i had to send it to a real transmission shop for an entire rebuild again. jim refuses to make good on this job telling me one excuse and lie after another. i only wish that these reviews allowed zero stars cause i wouldn't let these clowns work on a skateboard!
310,negative,"all pro does provide a free diagnostic and quote. which includes the mechanic taking the transmission apart. however, the year warranty the shop provides with the repair is worthless. my check engine light immediately came on after leaving the shop. i took my truck back immediately. i was given a ridiculous excuse and i believe they reset the code. the light came back on the next day and they ran the codes again. i was told the codes were for the knock sensor and o2 sensor. i was told to go to another shop for those repairs. long story short this shop i was referred to wanted to charge me $1500 to repair the sensors. i didn't pay it. i got another opinion and the second shop found that the electrical lines running along side the transmission appeared to be pinched between some metal. they believed that was the culprit and the sensors did not need replacing. i went back to all pro as suggested by the second shop and was given excuses and they failed to look at my truck again to resolve the issue. i paid $2500 to have my transmission replaced with all pro, i thought i could trust them. i was wrong."
311,negative,"never ever take your vehicle to this auto center. brought my car in to have oil changed. it was running fine when they took it in. when they gave it back it no longer ran. started it up, check engine light came on, (not maintenance required that needs resetting after each oil change.) and then the car died. no one cares said it was nothing they did and walked away. said they weren't mechanics. total lack of courtesy blew me away."
312,negative,"there's nothing more annoying than someone wasting my time. two things: needed a xzilon touch up as the job was not satisfactory, also my check engine light was on. 

i had the code checked, and i did my research of how much the part cost and how long it would take to fix it. easy fix, however i have a warranty - so i brought it in.  dropping the jeep off, i told the guy exactly what needed fixed, and spoke about the parts and the warranty in detail. apparently because i am female, they thought they could fuck with me.... they later called, reporting it will be $300 to fix (the part cost $20, and a 20 minute fix). i told him he's out of his fucking mind, this is covered under my warranty and i am not paying that. he continued to ask if i wanted the work done, and i declined as i refuse to pay $300 for a $20 part and easy fix, as well as this is covered under the warranty.  at this point, the man told me i needed to pay $97 for the fee of having the code read. this is a free service at any auto parts store - i already had the problem identified. again, trying to take advantage of a woman at the service dept.  i refused to pay for that as well.  the guy response was ""well then why did you bring the jeep in!?""  again - because it's covered under my warranty but i guess you're too damn lazy to address the problem appropriately. 
so, i arrived to pick up my jeep, opened the door. theres no odor. the xzilon application is a chemical, in which smells for days. theres still hair on the seats, items in the jeep weren't moved or touched. water marks still on the seats when i did my ""repel test"" (xzilon is a protectant which repels liquid... if they ever do it correctly). clearly, they did not address the xzilon at all. walking back into the service dept, i blatantly asked if they had addressed the xzilon.  ""uh, well, yeah. they did.""  they had absolutely no intention of addressing the xzilon, even after i called them out on the job they didn't do."
313,negative,"scam of a company. in my life i have never dealt with such a horrendous company. it's no shock to me that the bell road location shut down because they are crooks and people are catching on to their shady business practices. have any of these sales and accountants had any experience whatsoever in selling vehicles?  we bought a used truck about a year ago and every single thing that could go wrong with it, has gone wrong with it. the a.c. had to have been fixed 3 times, the transmission went out, the power windows went out, the muffler fell off, the hubcaps were missing..you name, it has happened to us. the accountant at the bell road location was the most unprofessional, disrespectful individual i have ever done business with. 

they sold us a complete lemon and overcharged us by roughly six thousand dollars and kept promising to fix the truck but never followed through. your company is a joke and i hope more people come forward to expose you for the soulless thieves that you are. 

i am reporting this company to the better business bureau. how can you can make false promises to your customers and taking them for every cent they have knowing full well that what you're selling them is essentially a death trap? this business needs to be shut down.  do not shop here. you will regret it."
314,negative,"dont waste your money with these guys. they will play nice at first, that jd guy and patrick. they wont fix your car, unless you pay an extra $5,000. even then, theres still a possibility it wont be fix. i paid almost $3000 for my check engine to be removed, and still nothing. i went to bmw only, the check engine light is gone and i just paid $700. never again. also that patrick guy is liar! he told he replaced my batter with a new one, turns out he lied. my uncle is a mechanic and when we looked at it, its the same one from 7 years ago. that's malpractice and lying. he should get fired."
315,negative,"if i could give negative stars i would. after spending over 3k last year on""repairs"" to my 03 c230, my check engine light is still on. now i have new problems and there are hanging wires & electrical issues. my car was fine when i came for the smog they ""gave"" me & had never given me issues until immediately after i got the smog. since i thought it was cool of them to comp my smog & because they are so close to my home, i thought i would give them a shot at fixing the check engine light. i hadn't made the connection with the timing at that point. plus i had them put new brakes in ($900+) the prior year and figured maybe they would give me a break on my repeat business. nope.
they told me that ""because it's a benz, it's going to be $1700, to get it done"". so i had to finance the repairs. i was told it was going to take a couple of days for the parts to come in from fletcher jones, to complete the financing paperwork, and then bring the car back at the end of the week. the receptionist that assisted me with the financing advised me to call before bringing the car back to be sure they had the parts. meanwhile, since i had signed the paperwork, they got paid. sure enough, when i phoned friday, no parts yet. 
i called again the following wednesday to see if they had the parts. nope. finally, over 2 weeks after the $1500 (+400 paid in cash for a coolant reservoir i never needed) the parts had mostly come in, & they expected the last one in by friday. i could drop the car off, and it might take a day or two to get it done.
i drop the car and after a week without my daily driver, and $1700, they give me the car back. as soon as i start the car, you guessed it! the check engine light is on again! ugh!
i have been to two other garages and now nobody wants to touch it because it's ""been tampered with"". that's a literal direct quote from 2 benz mechanics. the same exact words. beware of the smog deal!!! i now need a new car. plus i am out a bunch of $$."
316,negative,"awful!  just awful.

took my car in on an engine recall and told them car was not running right at all.  they ""checked it out"" and told me absolutely nothing was wrong with it.  right as i drove out of the lot, my car started to stall and was running really rough.  i called back right then and jamie said for them to look at it again, it would cost me $179!!  made no sense.  

just two days later, i took it to larry miller hyundai on bell road, and they said the engine recall was valid and that the pistons were bent and there was a small hole in the cam shaft.  the engine was no good and they are currently replacing the entire engine.  

how could chapman hyundai miss this glaring problem and send me on my way!!!??? very dangerous and inept.  

i will be notifying hyundai corporate about chapman once larry miller gets my car repaired and i am able to clearly see what chapman missed and how they could have done this.  

i will never go here again and would advise any of you to go elsewhere.  anywhere else but here!"
317,negative,"horrible customer service. never fixed the vehicle, replaced some part but didn't replace another that we were charged for (refunded that portion) but they didn't actually do what they said they were going to do which was diagnose, pinpoint issue and fix and no refund for all of that and no apologies. now taking vehicle to someone who also said this place gives other transmission companies a bad name. i wonder how many other people they charged for parts that they didn't actually replace?!!"
318,negative,"beware , beware . beware our transmission on our dodge truck went out on our way to northern california in the middle of the desert near death valley we looked for someone to fix it in las vegas and had it towed to el jesse transmissions . he said he could have it fixed the next day 4 days later he said it was done . we drove 500 miles and the transmission broke . we called jesse and he said he would pick the truck up that never happened . then he said he would send us a new transmission that never happened . he never returned phone calls as to how he was going to take care of this as we were stranded in california with no transportation 
then he said it was our truck that caused the rebuild that made it go bad and had not even looked at it after it broke
we had no choice as weeks went buy and no resolution and no return phone calls from jesse it was clear he was not going to warranty his work we had to take it to another shop they rebuilt it again and said there were stuff in there that was done improperly . we paid el jesse 3625.00 to rebuild the transmission and broke down 500 miles after rebuild .we had to pay another 3800.00 to redo his shotty workmanship . he will not pay the bill to rebuild the transmission nor give us a refund that they did not do correctly and will only warranty his work in his shop but we were stranded 500 miles from his shop and had no way to get the truck back to him . 

now we have to sue him to get a refund"
319,negative,"consider finding another transmission repair shop if you need your vehicle fixed properly the first or even the second time and in a timely fashion. family member was out of state for extended period of time, so we volunteered to help pick up their vehicle after transmission repair. after over 3 weeks of being in for transmission rebuild,  picked up vehicle only to have problems the next day. would not go in reverse. took vehicle back to all pro. picked vehicle up again after a couple weeks, only to have a leak from transmission and given excuses for the leak. one more trip to all pro. after not hearing anything 3 weeks later, was told vehicle would be delivered to our house since we lived in west valley.  another week passed, no vehicle delivered, called and again told vehicle would be brought to house by tow truck or jim, himself, would personally drive vehicle to our house. tow truck dropped off vehicle, unfortunately while we weren't at home. came home to find vehicle would not start, dead battery. not a surprise since vehicle sat at repair shop for 5 weeks. now the waiting game to see if any additional transmission problems arise after driving vehicle"
320,negative,"brought my transmission in there because it was leaking from the front pump.  i told them to go through it, was quoted $550.00, ended up $850.00. now the transmission is much worse than when i brought it to them.  had to pay another $250.00 plus fluids and labor for the valve body they messed up.  i gave them the go ahead to put the shift kit in it, they say it works as it should.  well if no downshift when you step on the gas, or a downshift when you are not stepping on the gas driving at 60 miles an hour with constant pedal, then it's right. oh yes, and the no overdrive or the shift from 1st to 3rd, bypassing 2nd, thats all corect according to them. this place is about 70 miles from my house, had to get my car towed to them after they did the transmission and they still can't get it right.  they talk a great game, but when it comes to fixing their mistakes, you will get no help from them.  stay away, stay far away."
321,negative,greg shmuck is a lier cheat and thief of the highest order. i fell victim to his switch and bate scam like the others.and has stolen my personal property from my truck. he promised to beat anyone's prices.he quoted me 1500. to repair my transmission. with nothing but a phone quote .told me that 600. would be applied to the repair of 1500. then removed the transmission.disabeling my truck. and then told me it would be 3000. or 600. to get my truck back with a disassembled trans.his machanics are incompetent.they are more like body guards. all certifications are fake. angie's list and bbb all bull. they don't repair. they have found a legal way to rip honest hard working people.by disablilng vehicles and holding them ransom @ 600. a pop.he has hi own impound yard. they allowed me to remove my personal possessions on one day. on the next day i was to return to remove my diamond plated tool box ladders and ladder rack. when i arrived my bed box and ladders had been removed. i said let me guess you sold my tool box to an employee. his response was yeah something like that with a smug expression. he said it was gone. i saw were he was hidding my ladders.i asked if i could have them. he said he would sell me my ladders. i started taking a lot of pics. and called the police. he ran like the coward he is.i came back to meet the police on 10-15-18. just in time to photo hi employee putting my ladders in hi truck to get them off the premises. i approached him and told him he had been photoed.and h quickly removed the ladders just as the police arrived. the police convinced him to let me have the ladders.but said he doesn't know what happened to the toolbox. not only that i have photos of my military decals pealed off my truck. how low can you go. rip people off steal there personal stuff and desigrat the armed forces and a man's dignity and valor how discrasfull .this coward never served a day.im going to sue that pos for larsany or theft .he has been investigated by 3 on your side and hid like a coward.hides from the police like a coward. his shop was riddled with bullets about 5 ys ago.he has many charges against him and yet his business practices remain. i'm on a mission to make his life hell on pure principal. even if it costs me. your welcome to join me. the attorney general needs to be contacted. maybe together we can put him out of business. and put him out of his expensive hummer trophy and paradise valley home.and into bankruptcy or a cell were he belongs.
322,negative,"i took my 2001 ford truck in a few days ago, i took it in when i didn't know what the problem was, they told me that there was a problem with my transmission and that they had now fixed it. they fixed it just good enough to run but now my ac and doesn't work and it has trouble shifting gears. but the thing that makes give them only one star (i wish i could give a lower score) is the fact that my emergency cash hidden in my glove box mysteriously disappeared while in there shop. chuck, the owner i believe, assured me that nobody could have taken it because it was locked in there garage the whole time and he pays his people enough so that they would not need to take my 100 dollars. the money isn't even the part that makes me the most upset, along with the cash was a picture that my little brother had given me years ago and i cared a lot about. that somehow disappeared with cash and ipod to radio adapter. use anywhere but here."
