,stars,rating,text
0,4,Positive,"in the heart of chinatown, i discovered it enroute to kensington market one day. it's quite hard to see, if you don't know it's there. first experience was very positive - would definitely return!

atmosphere: small space. think banh mi boys, and other trendy over-the-counter eateries. vibe is casual. free wifi is nice.

service: okay. staff does their job, but not overly helpful upon entering the space. maybe because it's an over-the-counter style place, but it would have been nice to be walked through their ordering process and menu.

price: average. depends on the size of pizza you order.the small pizza ($7-9.50) is filling for one. large size pizza ($13-18.50) is good for sharing... or one very hungry person.  pasta portions are very generous for the price tag ($9-14)


food: my friends and i were here for the first time, and we thought it was a pizza place so we all ordered pizza. it wasn't until we were waiting for the food to come, that we looked around and realised every other table around us only had pasta on them. guess we gotta come back to try! we did notice that the menu said their pasta is homemade. so will definitely come back.

here's the pizza we ordered:

peking duck pizza - very tasty! rich flavours that work well. but it's heavy, so come hungry - or order to share.

margherita - good, but not the best. i recommend trying the more ""special"" toppings instead.

shall return, and/or try other locations."
1,5,Positive,"first time eating there and everything was so yummy! great pizza and salad, my son had the meatball sub he said it was very good, must have been because he wouldn't share. highly recommend."
2,5,Positive,"so i don't give out 5 stars frivolously, but this place deserves it. everything i had (summer rolls, vegan pizza burger and chocolate chip cookies) was delicious. the service was great and the waitress helped me narrow down the never ending yummy looking options on the menu. they even gave me a smoothie sample while i waited.

next time i'm in cleveland, i'll definitely stop back in. i may even be coming for dinner today."
3,5,Positive,"my absolutely favorite mushroom pizza in the city, great brunch spot - really reasonable and you can always get a table, because it's really big and has indoor and outdoor space.  i think the ice cream is homeade.  a neighbourhood favorite!"
4,4,Positive,"the pizza is very, very good! we arrived 15 minutes before closing time and the restaurant staff were very accommodating!"
5,5,Positive,"this is probably my favorite bar in pittsburgh.  the pizza is solid, the hot dogs are great, and the beer cave...mmmm.  my only complaint is that they haven't opened another one on the other side of town!"
6,5,Positive,"fast forward

every trip from nyc to pitt includes a visit to aiello's. and if we know anyone driving east, we request a transfer!

if you are in search of fancy ""gourmet"" pizza, go elsewhere.

at aiello's, you order the pizza you specify - and it is absolutely perfect!"
7,5,Positive,probably one of my favorite pizza places. food is always good and the brick oven is a nice touch you don't see everywhere.
8,5,Positive,"excellent pizza! i travel a lot and one of my favorite things in different cities is to try a locally owned pizza place. delivery was right in the timeframe they provided and to my hotel room directly, both my pizza and breadsticks were hot on arrival and the delivery guy was friendly. 

the breadsticks came with a really flavorful sauce and themselves were perfectly baked and seasoned. the pizza was just a cheese pizza and the ratio of cheese/sauce/crust was on point and tasted great! 

as much pizza as i eat i ought to be considered an expert and if i wasn't leaving town tomorrow i'd be visiting these guys again. great food. thank you!"
9,4,Positive,"we like the manhattan family feast. $41.99 for a really big 1 topping pizza, hot wings, fries, and a large salad. i do wish another salad came with it since we're big salad eaters. good food. good price. prompt and courteous service."
10,5,Positive,best new york pizza in summerlin and p.o pasta dishes look yummy too!  very friendly staff! please come to la!
11,5,Positive,"this is my last stop on the reign of terror of vegan hotspots in downtown las vegas.  it's a pizza shop in the plaza hotel with a vegan slice called the soho.  it's pretty majestic, including spinach, artichoke, and the daiya cheese we all love.  the crust is chewy and delicious.  at other times (like daytime) they offer a vegan soft serve in chocolate and vanilla.  in my case, my 2am pizza trip also featured a drunk twenty year old hitting on me. thumbs up!"
12,4,Positive,"loved the pizza. they had a great selection. services wasn't bad. the wings are also tasty. it was the breakfast of champions!

 ; ^ d"
13,5,Positive,they have such good pizza. omg their cheesecake is to die for literally. i think i am addicted to the cheesecake.
14,5,Positive,"i went to their pizza ""rodizio"" yesterday, which is happening every thursday of this month. for those who still don't know what a rodizio is, i'm saving you a google search: you pay an amount and waiters keep bringing you food until you say you're full or you explode, whatever happens first.

i was expecting to eat just pizza, but they had a small pasta and salad buffet that was included in the price of $20/person. the lasagna was awesome - of course i didn't try everything because i was there for the pizza, after all.

the pizza slices are smaller than normal so you can try many different kinds. the ""portuguese"" (ham, cheese, egg, peas and onions) and the four cheese (mozzarella, parmesan, gorgonzola and catupiry) were the best ones, in my opinion.

please, go ahead and make your reservation. you won't be sorry."
15,5,Positive,their pizza is really really good. nice clean space. a little pricey though. you get a pizza with three items and your over 40 bucks!
16,5,Positive,"custom built pizza with high quality, fresh ingredients, a decent price, what else could you ask for? oh, and it tastes really really really good!"
17,5,Positive,"great pizza. my friends and i go here a lot. good pizza, good wings, good restaurant."
18,4,Positive,"this is a fun place with a trendy atmosphere. it's one of the few places in town that allow you to mix and match beer flights at a fair price. the food is fun and tasty. i recommend the mussels, pizzas, and wings."
19,5,Positive,"one of the best ny style pizzas in the city.  location is not much to look at on the outside, but very clean and fresh on the inside.  plenty of parking."
20,5,Positive,this probably one of the best pizza i ever eaten. we order a large pepperoni and salami . it was so good. when im in town  again i will be coming here
21,5,Positive,"i recently went to this restaurant with a group of friends as i had heard so many positive reviews and must say artigiani definately lived up to expectations. this resto serves up one  of the best wood oven pizza's in montreal.their  pizza is thin crust  and  they a have wide variety of pizza's that will please your pallette.  ambiance is cozy and modern decor. they also serve up a great seafood pasta dish for all you seafood lovers and must not forget to mention their fried calamari entree. lastly, be sure to leave room for their wonderful tiramisu dessert served in a gelato glass. would definately recommend!"
