,stars,rating,text
0,1,Negative,"i ordered a pizza at 4:49. got an email that said my pizza would be delivered at 5:18 to5:28. 5:38 still no pizza. called the store. they said it was out for delivery. i said i knew that it was suppose to be delivered 10 minutes ago. 5:48. still no pizza. called the store back. again, i was told it was out for delivery. 5:48 called the store again. when i was on the phone the pizza came. when it arrived it was cold."
1,2,Negative,"the pizza wasn't very warm when it arrived (they didn't use the warming bag at time of delivery) and the order was wrong, but the pizza tasted good."
2,2,Negative,"food was great! loved the pepperoni rolls and the zamboni fries! service was sub par. they hustled at first; however the server entirely forgot our pizza. when we inquired, she proceeded to blame it on the kitchen. she never apologized, nor did she offer a discount. she coerced us into paying our tab and did not offer to get us any additional food or beverage. furthermore, she did not pass on to another server that we intended to stay and eat and drink-even though we explicitly stated that. we stayed for 45 minutes waiting to order more food and have our drinks refilled. our plates were cleared and we were not offered additional food/drink. no one addressed us. l

overall: good food, bad service."
3,1,Negative,if i could i could give 0 stars i would. so we show up around 5:30pm on a monday. place is pretty empty. ordered drink which took about 30 mins to get. ice was already melted in my drink. ordered apps and meals. we did not get out food until 7:30. we waited a hour and a half for food @ a empty upscale pizza shop. btw my pizza was cold. and there is some manager guy walking around looking busy but what a joke. also i ordered a calzone which was not a calzone. crust chandler simply italian is a joke of a place and anyone that waste there money obviously does not care about the food they put in there mouth or any kind of service. what a rip off. just remember every time someone has a bad experience they tell 10 people. i was with 4 people. that's 50 people in day. i think the major issue is the customer base has no clue what good italian is. it sad that so many people accept this.
4,2,Negative,"the pizza was great, but the guys that make it , while we were there they were scratching their heads, taking  their hats off to run fingers through their hair. and one guy that was cutting up something was eating. they need to wash their hands after scratching. will not be back to this one"
5,2,Negative,"if giordano's is looking to compete with lou malnati's, they are going to have to improve their dough recipe. the crust tasted like a flaky hard biscuit which is not pleasant on pizza. lou malnati's dough has a wonderful yeasty dough flavor while giordano's doesn't taste like much at all, same as their garlic parmesan french fries. c'mon give us garlic, we can handle it!

to someone who just shoves food in their face and doesn't overly think about it, giordano's is fine, but if you consider yourself a pizza buff you will probably be let down after the fourth bite. 

overall giordano's is not horribly disgusting but it isn't impressive either. they could also stand to hire extra staff to be refilling drinks.
 
if you're looking for a truly spectacular pizza, do yourself a favor and go to grimaldi's."
6,1,Negative,"fix your store, it is so poorly run that i cannot even go there. there are never pizzas ready, they don't answer the phone to make orders, the employees are rude and condescending and the customers are trash!

our neighborhood is not this gross but if i was from outside the area, i would think it's the slums. totally unacceptable, get this store fixed immediately. no excuses.

it also has a foul odor to it...the pizza is worth 5 or 6 bucks...nothing special just fix your stupid store and standards"
7,2,Negative,"went for the 1st.time to cpk on the advice of a friend, there were 8 in our party. we were seated at a table that was made for 6, kinda cramped for space,we endured because they said the wait for a bigger table would be 20 min. although there were 2 areas  bigger than where we sat that were empty.  
         now when your waitress finally shows for drinks (about 5 min) and the first words out of her mouth are.  ""they must think i'm  wonder woman, i already have a table of 7 and a table of 12"". translated= hey guys, your service is gonna suck but that's not my fault. and it did!!!!
          my wife and i split the pepperoni, sasuage and mushroom pizza, obviously  'shrooms are the cheapest ingredient cause that's about all we could find. pizza was bland, 'shrooms  overpowering and service sacked. if that's what your looking for in a dining experience, then this is the restaurant and location for you. if not  stay away!!!!!!!!!!!!!!"
8,2,Negative,"horrible customer service. i have gotten food from here a few times expecting to have a better experience from the last, but i was wrong to hope for that. i once called and they answered ""hold on"" and just put the phone down. after waiting a few minutes they just hung the phone up. i called back again and they answered ""hold on"" again. i waited for 5 minutes before they took my order. i asked for their specials and the guy on the phone just says ""well what do you want to know specials on?"" in a kind of sarcastic tone. we've ordered chicken tenders from here many times and were charged for them but received chicken wings instead. this has happened multiple times. when going back they did not even apologize and  they just took the wings back and made us wait for the chicken tenders to be made. horrible customer service. the food here is way over priced. the pizza is mediocre. they may use ""fresh ingredients"" but really the crust is the best part of the pizza. maybe i would have thought the food was better if i received better service. 

if you want wayyyy better ny pizza go to rockos pizza. way better prices, extremely friendly service, way better everything."
9,1,Negative,"this hot and ready pizza was definitely not the greatest.  the pepperoni is clustered around the center.  the sauce has a spicy kick to it, and neither my children not myself liked it.  the crazy bread is tasty though."
10,2,Negative,"more like 2.5 stars. i'm giving two so the owners will have more incentive to make the necessary tweaks.

i really wanted to like strada 241. it's a beautiful space and the service is friendly, but the food was lackluster. we split a salumi plate and each had a pizza (i had the 'nduja). the salumi plate was nice but a little on the small side and lacking in variety, with only three meats. the pizzas looked good but were pretty tasteless - the cheese was bland, the sauce was bland and missing the necessary balance of tanginess and sweetness, and the crust was dried out and lacking flavor (probably a result of the electric oven).

i would come back to try the pastas and also to see if the pizza improves. there's no lack of effort here and the food is honest."
11,1,Negative,"used to be a good place. has gone downhill the last few years. i already know their pizza is not good anymore, it was when they first opened, but i was in the mood for pasta and decided to give them a chance to redeem themselves . 

i ordered to go and when i got their at 8 pm on a saturday night and there was only one two person table and no other people in the restaurant, i had a feeling something wasn't right. 
spent $23.17 on two pastas to go. one the was spaghetti with meat sauce, i would compare it to a can of chef boyardee. the other was a pesto pasta with chicken, not very good either. 

threw them both in the trash

after this meal, i also threw my streets of new york takeout menu in the trash"
12,1,Negative,one of the worst pizzas i've ever had. the cooks are really cheap when it comes to cheese (the pizza was almost all tomato sauce) because the cheese was missing. absolutely no taste. i don't usually bad reviews unless earned and these ppl working here certainly earned a bad review. maybe the owner is a cheap person and is forcing cooks to be cheap with toppings.
