,stars,rating,text
0,2,Negative,"The pizza wasn't good, but the service was bad.  pizzas are salty. all the time every time. i don't know why  my kids think it's gonna be better next time. no matter what kinda of pizza it's going to be salty. they also use cheddar cheese on most pizzas.  the salads are good. "
1,2,Negative," The pizza wasn't good, but the service was bad.  pizzas are salty. all the time every time. i don't know why  my kids think it's gonna be better next time. no matter what kinda of pizza it's going to be salty. they also use cheddar cheese on most pizzas.  the salads are good. "
2,2,Negative," The pizza wasn't good, but it was good enough. the order took 30 minutes to get the pizza, and 40 minutes to sit down and wait for the check. pizza was cold and kids were starving. not calling a pizza place is a bad idea.   they didn't tell us we needed to pay before getting the check, and when we asked about it "
3,2,Negative," The pizza wasn't good, but the service was bad.   we sat down and were immediately rushed into ordering our food and drinks- after our drinks came, which were blah, our food  finally came. we ordered a traditional pepperoni pizza and a side of their so-called-famous meatballs.  the pizza was so greasy that the oil "
4,2,Negative," The pizza wasn't good, but the guys who make it , while we were there , were scratching their heads , taking  their hats off to run fingers through their hair. and one guy that was cutting up something was eating. they need to wash their hands after scratching. will not be back to this one  pizzas are salty. all the time every time "
5,2,Negative," The pizza wasn't good, but the guys that make it , while we were there they were scratching their heads, taking  their hats off to run fingers through their hair. and one guy that was cutting up something was eating. they need to wash their hands after scratching. will not be back to this one  pizzas are salty. all the time every time "
6,2,Negative," The pizza wasn't good, but the customer service was great.  i've forgiven their rudeness over the phone many times, i ordered a pizza at 5:35 they told me it would be 45 minutes, when it actually took longer than 40 minutes.   the pizza arrived at 5:48 when i was told it would be 45 minutes, and still "
7,2,Negative," The pizza wasn't good, but it was good enough. the service also sucks.   we went here at 11 for a casual dinner and there was a wait for about 20 minutes. we asked if we could sit outside and the waiter said we could but we had to stay inside and he was cutting our service. we stayed inside and he was cutting our service even "
8,2,Negative," The pizza wasn't good, but the customer service was great.  pizzas are salty. all the time every time. i don't know why  my kids think it's gonna be better next time. no matter what kinda of pizza it's going to be salty. they also use cheddar cheese on most pizzas.  the salads are good "
9,2,Negative," The pizza wasn't good, but the service was bad.  i used to like their pizzas, but twice already i couldn't get in! first time, i get a rude employee saying that we aren't open! and tonight i rang the doorbell twice and i was ignored!  and another thing...why did you stop serving bacon on pizzas?  "
10,2,Negative," The pizza wasn't good, but the service was bad.   we sat down and were immediately rushed into ordering our food and drinks- after our drinks came, which were blah, our food  finally came. we ordered a traditional pepperoni pizza and a side of their so-called-famous meatballs.  the pizza was so greasy that the oil "
