stars,rating,text
4,Positive,"In the heart of Chinatown, I discovered it enroute to Kensington Market one day. It's quite hard to see, if you don't know it's there. First experience was very positive - would definitely return!

ATMOSPHERE: Small space. Think Banh Mi Boys, and other trendy over-the-counter eateries. Vibe is casual. Free WiFi is nice.

SERVICE: Okay. Staff does their job, but not overly helpful upon entering the space. Maybe because it's an over-the-counter style place, but it would have been nice to be walked through their ordering process and menu.

PRICE: Average. Depends on the size of pizza you order.The small pizza ($7-9.50) is filling for one. Large size pizza ($13-18.50) is good for sharing... or one VERY hungry person.  Pasta portions are very generous for the price tag ($9-14)


FOOD: My friends and I were here for the first time, and we thought it was a pizza place so we all ordered pizza. It wasn't until we were waiting for the food to come, that we looked around and realised EVERY other table around us only had pasta on them. Guess we gotta come back to try! We did notice that the menu said their pasta is homemade. So will definitely come back.

Here's the pizza we ordered:

Peking Duck Pizza - Very tasty! Rich flavours that work well. But it's heavy, so come hungry - or order to share.

Margherita - Good, but not the best. I recommend trying the more ""special"" toppings instead.

Shall return, and/or try other locations."
5,Positive,"First time eating there and everything was so yummy! Great pizza and Salad, my son had the meatball sub he said it was very good, must have been because he wouldn't share. Highly recommend."
5,Positive,"So I don't give out 5 stars frivolously, but this place deserves it. Everything I had (summer rolls, vegan pizza burger and chocolate chip cookies) was delicious. The service was great and the waitress helped me narrow down the never ending yummy looking options on the menu. They even gave me a smoothie sample while I waited.

Next time I'm in Cleveland, I'll definitely stop back in. I may even be coming for dinner today."
5,Positive,"My absolutely favorite mushroom pizza in the city, Great brunch spot - really reasonable and you can always get a table, because it's really big and has indoor and outdoor space.  I think the ice cream is homeade.  A neighbourhood favorite!"
4,Positive,"The pizza is very, very good! We arrived 15 minutes before closing time and the restaurant staff were very accommodating!"
5,Positive,"This is probably my favorite bar in Pittsburgh.  The pizza is solid, the hot dogs are great, and the beer cave...mmmm.  My only complaint is that they haven't opened another one on the other side of town!"
5,Positive,"Fast Forward

Every trip from NYC to Pitt includes a visit to Aiello's. And if we know anyone driving East, we request a transfer!

If you are in search of fancy ""gourmet"" pizza, go elsewhere.

At Aiello's, you order the pizza you specify - and it is absolutely perfect!"
5,Positive,Probably one of my favorite pizza places. Food is always good and the brick oven is a nice touch you don't see everywhere.
5,Positive,"Excellent pizza! I travel a lot and one of my favorite things in different cities is to try a locally owned pizza place. Delivery was right in the timeframe they provided and to my hotel room directly, both my pizza and breadsticks were hot on arrival and the delivery guy was friendly. 

The breadsticks came with a really flavorful sauce and themselves were perfectly baked and seasoned. The pizza was just a cheese pizza and the ratio of cheese/sauce/crust was on point and tasted great! 

As much pizza as I eat I ought to be considered an expert and if I wasn't leaving town tomorrow I'd be visiting these guys again. Great food. Thank you!"
4,Positive,"We like the Manhattan Family Feast. $41.99 for a REALLY big 1 topping pizza, hot wings, fries, and a large salad. I do wish another salad came with it since we're big salad eaters. Good food. Good price. Prompt and courteous service."
5,Positive,best New York pizza in Summerlin and p.o pasta dishes look yummy too!  very friendly staff! please come to LA!
5,Positive,"This is my last stop on the reign of terror of vegan hotspots in downtown Las Vegas.  It's a pizza shop in the plaza hotel with a vegan slice called the soho.  It's pretty majestic, including spinach, artichoke, and the Daiya cheese we all love.  The crust is chewy and delicious.  At other times (like daytime) they offer a vegan soft serve in chocolate and vanilla.  In my case, my 2am pizza trip also featured a drunk twenty year old hitting on me. Thumbs up!"
4,Positive,"Loved the pizza. They had a great selection. Services wasn't bad. The wings are also tasty. It was the breakfast of champions!

 ; ^ D"
5,Positive,They have such good pizza. OMG their cheesecake is to die for literally. I think I am addicted to the cheesecake.
5,Positive,"I went to their pizza ""rodizio"" yesterday, which is happening every Thursday of this month. For those who still don't know what a rodizio is, I'm saving you a Google search: you pay an amount and waiters keep bringing you food until you say you're full or you explode, whatever happens first.

I was expecting to eat just pizza, but they had a small pasta and salad buffet that was included in the price of $20/person. The lasagna was awesome - of course I didn't try everything because I was there for the pizza, after all.

The pizza slices are smaller than normal so you can try many different kinds. The ""Portuguese"" (ham, cheese, egg, peas and onions) and the four cheese (mozzarella, parmesan, gorgonzola and catupiry) were the best ones, in my opinion.

Please, go ahead and make your reservation. You won't be sorry."
5,Positive,Their pizza is really really good. Nice clean space. A little pricey though. You get a pizza with three items and your over 40 bucks!
5,Positive,"Custom built pizza with high quality, fresh ingredients, a decent price, what else could you ask for? Oh, and it tastes really really really good!"
5,Positive,"Great pizza. My friends and I go here a lot. Good pizza, good wings, good restaurant."
4,Positive,"This is a fun place with a trendy atmosphere. It's one of the few places in town that allow you to mix and match beer flights at a fair price. The food is fun and tasty. I recommend the mussels, pizzas, and wings."
5,Positive,"One of the best NY style pizzas in the city.  Location is not much to look at on the outside, but very clean and fresh on the inside.  Plenty of parking."
5,Positive,This probably one of the best pizza I ever eaten. We order a large pepperoni and salami . It was so good. When im in town  again I will be coming here
5,Positive,"I recently went to this restaurant with a group of friends as I had heard so many positive reviews and must say Artigiani definately lived up to expectations. This resto serves up one  of the best wood oven pizza's in montreal.Their  pizza is thin crust  and  they a have wide variety of pizza's that will please your pallette.  Ambiance is cozy and modern decor. They also serve up a great seafood pasta dish for all you seafood lovers and must not forget to mention their fried calamari entree. Lastly, be sure to leave room for their wonderful tiramisu dessert served in a gelato glass. Would definately recommend!"
4,Positive,"I came here based on the great reviews on Yelp. I have never had Georgian food before. I was mostly interested in trying the hachapuri (georgian pizza shaped like a boat with an egg on top). It is the coolest thing I have ever seen on yelp. 

So we got here on an afternoon to have some lunch. The restaurant just opened but there was already a party inside! The servers are really nice and really cute :o. Lol. Anyway, we wanted to get a hachapuri and some khinkali (georgian dumplings). There were no pictures on the menu, but even the photos on yelp were hard to distinguish the sizing and portion of food. Let me say upon arrival of our food I was shocked by how generous the portions were! The Khinkali dumplings each of them were like the size of a small person's fist. And the hachapuri was the size of a small pizza. Very filling indeed, even when sharing with a friend. We both loved the food. The khinkali pork and beef had some interesting spices...tasted very beefy and rich. I needed to cleanse the palate with some of their tangy dipping sauces from time to time. Their sauces are really tasty btw. They come as a complimentary appetizer with some hot buns on the side.

The food was so memorable! I would love to come back to try some other Georgian dishes. I think though, the place could use some natural lighting, it is very dim inside."
4,Positive,Solid pizza. Maybe slightly on the rich side but sometimes that's what you're looking for! Went for this when Pizzaiolo was closed last night and was very happy with the decision.
4,Positive,"Just ordered a pizza with pepperoni, sausage, and onion.,,really good pizza!! Spinach dip is also really good! Good place to go!! Yum!!"
5,Positive,24 hour service!  702-333-8000Exceptional chicken fettuccine Alfredo! White pizza is to die for!!! Everything is homemade I love it. 24hr delivery and pick up. The owner is super friendly!!! 5 stars!!!!!
5,Positive,"First time here with two little boys my 5 yo boy and his 9yo friend. We just came from Flipnout extreme and this was the closest dine in pizza place we could find. Very happy we came here. The I think manager or owner was very polite and friendly with us making us feel welcome. The pizza we ordered, a small half cheese and pepperoni and garlic bread, was very good!  Overall, we would come again. :)"
5,Positive,"Fantastic meal, pizza made just like we wanted it. They added pepperoni to half of our Bacon & Blue with barely a raised eye. Great atmosphere and the service (Alex) was by far the best we had during our entire stay. Friendly staff, and just a stellar meal."
5,Positive,"First time here.  Checked in and got the pepperoni cheese stick for FREE.  It was great. 

The service was very welcoming as they checked to make sure if everything was ok. 
The dining area was roomy and my son had room to stretch his legs and did not felt pressure to just sit there-felt very welcoming. 

Ordered chicken wings with garlic ranch. Omg so glad we did,  it was amazing. The chicken was crispy with a nice crunch with every bite and did I mentioned the garlic.  It was so delicious!

The XL pizza was huge with a crispy crust and a soft bottom texture that was not overly oily with every bite.  The topping were really tasty with half of it topped with pepperoni,  black olives, and sausages.  The other half had pepperoni,  onions,  and bacon.  To spice it up we asked for jalapeno on the side.

Will definitely return."
5,Positive,"This was my second time in the last few months meeting a friend for lunch at
Luciano Garden Restaurant.  It is not far from my home.  The restaurant was perfect for conversation, and very comfortable.  The pizza is the best pizza I have had in a long time in the Las Vegas area.  The chopped salad was a generous portion with a lovely light dressing.  I plan to have dinner with my husband in the near future and am looking forward to trying some of their seafood, pasta dishes."
5,Positive,My favorite Giordanos in AZ! The service and food is perfection. What I appreciate about it is that it's the closest tasting pizza compared to my hometown of Chicago. We love deep dish and the crust doesn't disappoint. The sauce is well seasoned which is also something I pay attention to. This is our family spot.
