stars,rating,text
1,Negative,"I ordered a pizza at 4:49. Got an email that said my pizza would be delivered at 5:18 to5:28. 5:38 still no pizza. Called the store. They said it was out for delivery. I said I knew that it was suppose to be delivered 10 minutes ago. 5:48. Still no pizza. Called the store back. Again, I was told it was out for delivery. 5:48 called the store again. When I was on the phone the pizza came. When it arrived it was COLD."
2,Negative,"The pizza wasn't very warm when it arrived (they didn't use the warming bag at time of delivery) and the order was wrong, but the pizza tasted good."
2,Negative,"Food was great! Loved the pepperoni rolls and the zamboni fries! Service was sub par. They hustled at first; however the server entirely forgot our pizza. When we inquired, she proceeded to blame it on the kitchen. She never apologized, nor did she offer a discount. She coerced us into paying our tab and did not offer to get us any additional food or beverage. Furthermore, she did not pass on to another server that we intended to stay and eat and drink-even though we explicitly stated that. We stayed for 45 minutes waiting to order more food and have our drinks refilled. Our plates were cleared and we were not offered additional food/drink. No one addressed us. L

Overall: good food, bad service."
1,Negative,If I could I could give 0 stars I would. So we show up around 5:30pm on a Monday. Place is pretty empty. Ordered drink which took about 30 mins to get. Ice was already melted in my drink. Ordered apps and meals. We did not get out food until 7:30. We waited a hour and a half for food @ a empty upscale pizza shop. BTW my pizza was cold. And there is some manager guy walking around looking busy but what a joke. Also I ordered a Calzone which was not a Calzone. Crust Chandler Simply Italian is a joke of a place and anyone that waste there money obviously does not care about the food they put in there mouth or any kind of service. What a rip off. Just remember every time someone has a bad experience they tell 10 people. I was with 4 people. That's 50 people in day. I think the major issue is the customer base has no clue what good Italian is. It sad that so many people accept this.
2,Negative,"The pizza was great, but the guys that make it , while we were there they were scratching their heads, taking  their hats off to run fingers through their hair. And one guy that was cutting up something was eating. They need to wash their hands after scratching. Will not be back to this one"
2,Negative,"If Giordano's is looking to compete with Lou Malnati's, they are going to have to improve their dough recipe. The crust tasted like a flaky hard biscuit which is not pleasant on pizza. Lou Malnati's dough has a wonderful yeasty dough flavor while Giordano's doesn't taste like much at all, same as their garlic parmesan french fries. C'mon give us garlic, we can handle it!

To someone who just shoves food in their face and doesn't overly think about it, Giordano's is fine, but if you consider yourself a pizza buff you will probably be let down after the fourth bite. 

Overall Giordano's is not horribly disgusting but it isn't impressive either. They could also stand to hire extra staff to be refilling drinks.
 
If you're looking for a truly spectacular pizza, do yourself a favor and go to Grimaldi's."
1,Negative,"Fix your store, it is so poorly run that I cannot even go there. There are never pizzas ready, they don't answer the phone to make orders, the employees are rude and condescending and the customers are trash!

Our neighborhood is not this gross but if I was from outside the area, I would think it's the slums. Totally unacceptable, get this store fixed immediately. No excuses.

It also has a foul odor to it...the pizza is worth 5 or 6 bucks...nothing special just fix your stupid store and standards"
2,Negative,"Went for the 1st.time to CPK on the advice of a friend, there were 8 in our party. We were seated at a table that was made for 6, kinda cramped for space,we endured because they said the wait for a bigger table would be 20 min. Although there were 2 areas  bigger than where we sat that were empty.  
         Now when your waitress finally shows for drinks (about 5 min) and the first words out of her mouth are.  ""They must think I'm  wonder woman, I already have a table of 7 and a table of 12"". Translated= hey guys, your service is gonna suck but that's not my fault. And it did!!!!
          My wife and I split the pepperoni, sasuage and mushroom pizza, obviously  'shrooms are the cheapest ingredient cause that's about all we could find. Pizza was bland, 'shrooms  overpowering and service sacked. If that's what your looking for in a dining experience, then this is the restaurant and location for you. If not  STAY AWAY!!!!!!!!!!!!!!"
2,Negative,"Horrible customer service. I have gotten food from here a few times expecting to have a better experience from the last, but I was wrong to hope for that. I once called and they answered ""Hold on"" and just put the phone down. After waiting a few minutes they just hung the phone up. I called back again and they answered ""Hold on"" again. I waited for 5 minutes before they took my order. I asked for their specials and the guy on the phone just says ""Well what do you want to know specials on?"" In a kind of sarcastic tone. We've ordered chicken tenders from here many times and were charged for them but received chicken wings instead. This has happened multiple times. When going back they did not even apologize and  they just took the wings back and made us wait for the chicken tenders to be made. Horrible customer service. The food here is WAY OVER PRICED. The pizza is mediocre. They may use ""fresh ingredients"" but really the crust is the best part of the pizza. Maybe I would have thought the food was better if I received better service. 

If you want WAYYYY better NY pizza go to rockos pizza. Way better prices, extremely friendly service, way better EVERYTHING."
1,Negative,"This hot and ready pizza was definitely not the greatest.  The pepperoni is clustered around the center.  The sauce has a spicy kick to it, and neither my children not myself liked it.  The crazy bread is tasty though."
