,stars,rating,text
0,5,Positive,"The pizza was great. i loved the mushrooms because they were cooked differently than the normal soggy type that shows up on pizza. they were crisp and not mushy. they were also nicely seasoned with crushed tomatoes, which i was expecting since they're pizza. the mushrooms were also nicely flavored with black olives, onions, and bacon. it arrived ready made with no extras. it was also quite a bit cheaper than buying a whole. i highly recommend this place "
1,5,Positive, The pizza was great! i had a custom made garlic knots for topping with basil and they were amazing. the sauce was not on the thick side.  i had the pasta dinner with sausage and mushrooms and it was very very good. i had the dessert and i must say i was a little put off by the lack of a top. there's a bar in the basement with a tv and a few games on it. i don't know what their menu is but 
2,5,Positive," The pizza was great. i had a custom pizza and feel that it was reasonably priced. the service was fine and the food came out in a timely fashion.  i was somewhat reticent to go after reading the pther yelp reviews but experienced none of the conditions depicted in previous reviews. the fact that they all menyioned yhe same vompetitor makes me wonder if there aren't some shenanigans going on. a quick google search of ""ne "
3,5,Positive," The pizza was great. i loved the mushrooms because they were cooked differently than the normal soggy type that shows up on pizza. they were also sauced differently than the usual soy sauce based sauce. they were not overly sweet because of the soy sauce, but rather had a good flavor due to the vinegar. the meatballs were not overly salty because of the pepper flakes, but instead had a good flavor due to the basil leaves.  the crust was really tasty "
4,5,Positive, The pizza was great. i had a customized pizza and feel that it was reasonably priced. the service was fine and the food came out in a timely fashion.  i was somewhat reticent to go after reading the pther yelp reviews but experienced none of the conditions depicted in previous reviews. the fact that they all menyioned yhe same vompetitor makes me wonder if there aren't some shenanigans going on. a quick Google search on yhe 
5,5,Positive, The pizza was great.  the feta in the topping is what interests me.  the feta in the pizza is what interests me more.  the topping was really tasty.  i had a custom slice with veggies and it was quite large for my liking.  the feta in the pizza is what interests me the most.  the feta in the pizza is what i am most looking for in a pizza.  the crust is really thin and che 
6,5,Positive, The pizza was great. i had a custom pizza and feel that it was reasonably priced. the service was fine and the food came out in a timely fashion.  i was somewhat reticent to go after reading the pther yelp reviews but experienced none of the conditions depicted in previous reviews. the fact that they all menyioned yhe same vompetitor makes me wonder if there aren't some shenanigans going on. a quick Google search reveals that there 
7,5,Positive," The pizza was great.  their sauce was not.  it had a little sauce which was nice, but the actual pizza was just alright.   i had the antipasti minto pizza with sausage, it was very good, and i have had the stuffed crust with cheese, it is by far my favorite! whenever i think of pizza places in las vegas, i always think of this one. great pizza, great atmosphere, fast service "
8,5,Positive," The pizza was great!  it had a nice chew and it was cooked evenly throughout.  it came with a generous side salad and it was totally worth the money!  the restaurant was very clean but it felt a little warm in here.  i would definitely come back!!"" ""guy's pizza co. coventry location has an average of 2.5 stars, say what?! i can't believe these 1 and 2 star reviews!? i have always experienced friendly "
9,5,Positive," The pizza was great. i ordered a salad yesterday to pretend like i was being healthy and it was even healthy according to the receipt. they give you 1/2 pizza for $12, which was a very good deal. they have also included 2/3 of a pizza with every other order, so you get 2 pizzas for $8.99.99.   i'll be back to try their chicken again, but this time i ordered my pizza "
10,5,Positive," The pizza was great.  the wings were also good, but on the smaller end. we chose chicken over pizza for dinner because it was cheaper and had a higher fat content. the chicken was also healthier because it came from a local company that makes chicken healthier than conventionally raised chicken.   we will definitely be back to try their chicken again, but with a party no larger than 3 we can't wait to go back!"" ""i went here for "
11,5,Positive," The pizza was great. i had a side of garlic bread and it was amazing. it was also a very large slice of pizza. i was pleasantly full after just one slice, but it was all i had and it was all i was giving :(.  we will definitely return."" great food, great vibe. had cheese pizza, risotto with spinach, chilis, and sweet potato, and amazing sangria. we went during the day, and "
12,5,Positive, The pizza was great. took longer than expected but all in all it was good. the sauce was not on the thick side.   we will definitely come back here. the pizza was also quite good. i loved the mushroom pizza. the mushrooms were cooked differently then expected causing them to release their flavor more then they were intended to. the crust was also quite good. i loved the feta topping. it helped round out the meal a bit.   
13,5,Positive," The pizza was great.   received a customer service award for being nice! this was my second time in the last few months giving them out. the pizza was awesome.   went to their restaurant exclusively tonight and was very impressed.   the restaurant is very trendy, very chic, very edgy, very trendy at the same time!   it has a really nice patio area and very cozy sitting area.   we ordered "
14,5,Positive," The pizza was great.  the crust was fluffy and not too sweet in spite of the cranberry sauce.  wonderful.  the guests loved the food.  it was so memorable having pizza and wings at the same time.  we will definitely be back to have more pizza and wings.  the place is cool and happy. ""it's not the best pizza ever, not the best in the strip. for the best pizza place i would go to grim "
15,5,Positive," The pizza was great!  the sauce was not on the thick side.  we chose the small side and half and half.  it was also very tasty.  the crust was not on the chewy side.  there were still some slices that were hard on the bite, but they were still fresh and not overcooked.  the salad was big for a small salad, and it came with lots of caramelized onions, fresh goat cheese, and chopped tomatoes "
16,5,Positive," The pizza was great. i loved the mushrooms. they were also very flavorful. they had a nice kick with the sauce and the crust was really tasty. it would be nice to have some more tomato sauce on there, but it was the only thing that really made it soggy. the rest of the pizza was really good. i really liked the combination of the crust and the toppings on there. we used to serve this with our normal pizza at a y "
17,5,Positive," The pizza was great.  we also had the ambrosia pizza, which was quite an appetizer. i loved the mediterranean pizza, marinara pizza and the italian pizza. the arancini pizza was very good. there was a decent amount of sauce. it was not on the starbucks but it was a good quick bite while shopping. i would recommend this place to my friends. we will be back."" ""i have been going "
